Order_ID,Customer_ID,Restaurant_ID,Order_Date,City,Order_Value,Payment_Method,Rating,Delivery_Time(min)
O1000,C328,R327,2024-06-05,Pune,892.69,Credit Card,2,27
O1001,C608,R250,2024-09-17,Mumbai,433.09,Net Banking,2,36
O1002,C891,R343,2023-05-07,Hyderabad,1484.12,Debit Card,1,22
O1003,C421,R345,2023-05-17,Chennai,801.22,Credit Card,3,38
O1004,C573,R334,2024-05-01,Pune,371.83,Debit Card,2,40
O1005,C451,R244,2023-10-10,Mumbai,767.89,UPI,1,55
O1006,C792,R241,2023-06-23,Mumbai,1312.98,Credit Card,3,55
O1007,C828,R334,2024-10-10,Chennai,130.53,COD,5,17
O1008,C811,R214,2023-03-18,Pune,1051.38,UPI,1,21
O1009,C879,R259,2024-01-04,Pune,867.15,Debit Card,3,16
O1010,C123,R239,2023-11-12,Delhi,337.38,Net Banking,4,47
O1011,C789,R311,2023-04-07,Hyderabad,1244.47,COD,2,26
O1012,C715,R276,2023-10-10,Bangalore,616.44,Credit Card,1,26
O1013,C291,R304,2024-07-20,Delhi,511.32,UPI,5,24
O1014,C868,R306,2024-05-02,Mumbai,1259.38,Credit Card,1,55
O1015,C219,R321,2023-03-19,Hyderabad,993.94,Credit Card,2,41
O1016,C664,R279,2024-07-23,Hyderabad,1357.56,COD,2,32
O1017,C288,R324,2023-09-17,Pune,981.84,COD,3,18
O1018,C464,R333,2024-07-25,Hyderabad,1137.14,COD,5,54
O1019,C691,R231,2023-02-02,Chennai,1271.02,COD,3,37
O1020,C563,R307,2023-03-05,Hyderabad,176.64,Net Banking,5,35
O1021,C461,R313,2023-11-04,Mumbai,1186.47,Debit Card,1,50
O1022,C375,R345,2024-06-13,Chennai,959.19,COD,1,44
O1023,C789,R267,2024-03-28,Chennai,197.31,UPI,3,35
O1024,C216,R326,2023-03-26,Delhi,812.01,Credit Card,4,37
O1025,C463,R334,2024-09-12,Hyderabad,215.44,COD,2,35
O1026,C829,R313,2024-09-24,Pune,1130.33,UPI,3,22
O1027,C791,R207,2023-04-30,Delhi,865.1,Net Banking,3,53
O1028,C433,R263,2023-10-16,Pune,1435.0,UPI,1,27
O1029,C722,R334,2023-03-04,Hyderabad,356.39,UPI,2,54
O1030,C775,R240,2023-06-16,Delhi,948.45,Net Banking,3,36
O1031,C822,R239,2023-12-08,Hyderabad,396.21,Net Banking,1,21
O1032,C550,R202,2024-07-25,Mumbai,959.69,Credit Card,1,38
O1033,C268,R344,2023-09-12,Delhi,1111.71,COD,3,19
O1034,C312,R309,2023-04-08,Pune,1111.23,UPI,3,40
O1035,C346,R313,2023-07-31,Mumbai,1241.1,Debit Card,1,24
O1036,C584,R311,2024-04-15,Bangalore,1294.97,Debit Card,3,25
O1037,C126,R349,2024-06-01,Pune,208.18,Credit Card,2,54
O1038,C622,R203,2024-09-11,Hyderabad,580.57,Debit Card,1,52
O1039,C403,R333,2024-08-09,Pune,1061.97,Credit Card,1,25
O1040,C345,R225,2023-12-09,Bangalore,798.02,COD,3,44
O1041,C814,R338,2024-07-26,Pune,366.95,Credit Card,3,18
O1042,C486,R216,2024-08-12,Mumbai,873.79,Net Banking,3,16
O1043,C183,R291,2024-03-10,Chennai,670.41,Net Banking,2,27
O1044,C778,R230,2024-03-31,Pune,646.05,Net Banking,1,53
O1045,C143,R343,2024-02-12,Delhi,1233.66,Net Banking,4,31
O1046,C698,R306,2024-04-23,Bangalore,670.64,Net Banking,2,37
O1047,C732,R345,2024-05-08,Pune,137.04,Net Banking,2,59
O1048,C394,R310,2024-07-10,Bangalore,181.29,Net Banking,1,24
O1049,C776,R300,2023-07-24,Chennai,1298.74,Net Banking,4,27
O1050,C525,R311,2023-03-26,Mumbai,1444.84,Net Banking,1,56
O1051,C492,R261,2023-04-08,Delhi,1063.77,COD,2,53
O1052,C141,R311,2023-03-19,Hyderabad,610.12,Net Banking,3,56
O1053,C339,R315,2023-11-15,Pune,1414.04,Credit Card,1,43
O1054,C849,R234,2023-05-15,Mumbai,1027.92,COD,1,30
O1055,C425,R227,2024-08-26,Bangalore,1282.07,Debit Card,3,17
O1056,C552,R302,2024-06-08,Chennai,1172.19,UPI,4,50
O1057,C539,R324,2024-01-11,Bangalore,630.8,COD,4,18
O1058,C584,R301,2023-08-07,Chennai,770.18,Net Banking,1,50
O1059,C161,R336,2024-09-26,Chennai,360.59,COD,3,30
O1060,C402,R342,2024-09-12,Mumbai,508.82,UPI,1,55
O1061,C695,R220,2023-07-04,Pune,1189.38,UPI,3,20
O1062,C265,R251,2023-09-19,Hyderabad,1351.57,Net Banking,2,56
O1063,C267,R296,2023-07-02,Pune,1114.24,Net Banking,3,42
O1064,C109,R250,2024-07-07,Delhi,751.24,Credit Card,1,50
O1065,C469,R282,2024-08-01,Pune,221.11,UPI,5,37
O1066,C816,R254,2023-01-06,Chennai,179.73,Net Banking,4,26
O1067,C151,R276,2023-03-03,Chennai,624.06,UPI,1,56
O1068,C261,R326,2023-06-30,Delhi,749.35,Credit Card,3,45
O1069,C361,R292,2024-04-09,Bangalore,952.77,Debit Card,3,26
O1070,C699,R287,2024-05-26,Chennai,109.09,UPI,4,46
O1071,C629,R279,2024-09-17,Delhi,1485.61,Credit Card,1,39
O1072,C451,R291,2024-05-18,Chennai,609.51,Credit Card,5,43
O1073,C719,R246,2024-06-01,Hyderabad,1287.33,Credit Card,2,33
O1074,C596,R237,2023-08-30,Chennai,848.95,COD,5,36
O1075,C825,R338,2023-08-30,Mumbai,282.62,Net Banking,2,38
O1076,C772,R214,2024-01-23,Delhi,1216.59,UPI,2,47
O1077,C310,R200,2024-10-12,Pune,1093.76,COD,1,50
O1078,C327,R334,2024-05-02,Delhi,838.41,UPI,2,59
O1079,C200,R200,2024-04-30,Bangalore,820.37,COD,3,54
O1080,C382,R248,2023-05-05,Chennai,222.47,Net Banking,2,30
O1081,C899,R295,2023-06-21,Delhi,1018.19,Credit Card,2,16
O1082,C438,R225,2024-03-27,Hyderabad,1375.74,UPI,4,22
O1083,C285,R286,2024-06-13,Delhi,230.54,Credit Card,4,27
O1084,C722,R292,2023-04-10,Hyderabad,468.92,Net Banking,1,44
O1085,C550,R301,2024-01-16,Chennai,1363.23,UPI,1,15
O1086,C220,R270,2024-03-15,Pune,498.08,Debit Card,3,26
O1087,C415,R339,2023-10-04,Chennai,1015.52,Debit Card,4,21
O1088,C450,R294,2024-08-05,Bangalore,848.75,Debit Card,5,28
O1089,C716,R317,2024-06-19,Mumbai,934.86,Net Banking,1,56
O1090,C119,R347,2023-05-27,Pune,682.1,Debit Card,1,49
O1091,C324,R318,2023-12-25,Pune,519.99,UPI,4,42
O1092,C527,R250,2024-08-18,Mumbai,167.95,Debit Card,4,26
O1093,C324,R280,2023-09-18,Delhi,1141.99,UPI,3,54
O1094,C614,R235,2023-10-06,Chennai,1144.53,Net Banking,4,38
O1095,C502,R266,2024-05-15,Delhi,1039.02,Credit Card,2,15
O1096,C402,R328,2023-04-04,Delhi,1001.09,COD,5,31
O1097,C862,R313,2023-07-21,Chennai,441.2,Debit Card,2,52
O1098,C619,R310,2023-12-21,Bangalore,131.28,COD,2,42
O1099,C204,R341,2023-06-29,Pune,1232.2,Credit Card,2,47
O1100,C560,R299,2024-05-20,Hyderabad,787.59,Net Banking,1,38
O1101,C738,R308,2023-06-18,Mumbai,529.57,Net Banking,2,59
O1102,C684,R319,2023-06-09,Pune,242.7,Credit Card,1,20
O1103,C241,R278,2023-01-14,Delhi,187.81,COD,4,35
O1104,C877,R333,2023-04-19,Mumbai,588.41,Debit Card,5,59
O1105,C480,R218,2024-03-21,Hyderabad,1226.63,UPI,5,18
O1106,C230,R326,2023-02-09,Pune,1386.21,Net Banking,2,47
O1107,C247,R228,2024-09-17,Pune,1355.45,Credit Card,5,24
O1108,C184,R223,2023-03-11,Bangalore,1388.0,COD,1,50
O1109,C753,R209,2024-02-19,Pune,1370.82,Debit Card,4,27
O1110,C199,R304,2023-01-16,Pune,838.11,COD,2,50
O1111,C200,R344,2023-01-18,Hyderabad,407.18,Debit Card,3,23
O1112,C795,R254,2023-08-17,Hyderabad,1217.27,UPI,5,45
